0020
start,end,count
0,99999,18152
100000,199999,9117
200000,299999,0
300000,399999,0
400000,499999,0
0040
start,end,count
0,99999,19094
100000,199999,17907
200000,299999,14146
300000,399999,4016
400000,499999,0
0060
start,end,count
0,99999,19482
100000,199999,19705
200000,299999,19661
300000,399999,14484
400000,499999,7508
0080
start,end,count
0,99999,19745
100000,199999,20844
200000,299999,23073
300000,399999,21563
400000,499999,19587
0100
start,end,count
0,99999,19944
100000,199999,21808
200000,299999,26146
300000,399999,28292
400000,499999,30813
0120
start,end,count
0,99999,20129
100000,199999,22576
200000,299999,28765
300000,399999,33207
400000,499999,37447
