0020
start,end,count
0,99999,20415
100000,199999,16513
200000,299999,4775
300000,399999,0
400000,499999,0
0040
start,end,count
0,99999,21543
100000,199999,21749
200000,299999,20197
300000,399999,11826
400000,499999,2741
0060
start,end,count
0,99999,21825
100000,199999,23031
200000,299999,24349
300000,399999,20274
400000,499999,13314
0080
start,end,count
0,99999,22041
100000,199999,23994
200000,299999,27342
300000,399999,27280
400000,499999,24445
0100
start,end,count
0,99999,22527
100000,199999,25130
200000,299999,30252
300000,399999,33106
400000,499999,33307
0120
start,end,count
0,99999,22542
100000,199999,25159
200000,299999,30313
300000,399999,33215
400000,499999,33510
